id,name,description,address,latitude,longitude,city_id,opening_hours,rating,user_rating,types,phone_number,createdAt,updatedAt
343,Curug Salang Gumun,-,"MW4W+X5H, Gedekan, Tlogojati, Kec. Wonosobo, Kabupaten Wonosobo, Jawa Tengah 56317, Indonesia",-7.3425526,109.945492,29,Monday: 7:00?AM?–?4:00?PM|Tuesday: 7:00?AM?–?4:00?PM|Wednesday: 7:00?AM?–?4:00?PM|Thursday: 7:00?AM?–?4:00?PM|Friday: 7:00?AM?–?4:00?PM|Saturday: 7:00?AM?–?4:00?PM|Sunday: 7:00?AM?–?4:00?PM,4.8,4,tourist_attraction|point_of_interest|establishment,0821-3898-2679,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
344,Pancingan MeLi,-,"Dusun IV, Langenharjo, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57556, Indonesia",-7.614816599999997,110.8000223,7,Monday: 8:00?PM?–?3:00?AM|Tuesday: 8:00?PM?–?3:00?AM|Wednesday: 8:00?PM?–?3:00?AM|Thursday: 8:00?PM?–?3:00?AM|Friday: 8:00?PM?–?12:00?AM|Saturday: Open 24 hours|Sunday: 8:00?PM?–?3:00?AM,4.8,5,tourist_attraction|point_of_interest|establishment,0858-4850-9260,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
345,Sondokoro Agrotourism,"Park at an old sugar factory with a playground, climbing wall, aquarium, aviaries & a water park.","CWFJ+FJM, Jl. Mangkunegara Bojonegara, Nglande Wetan, Ngijo, Kec. Tasikmadu, Kabupaten Karanganyar, Jawa Tengah 42454, Indonesia",-7.576296699999999,110.9315588,7,Monday: 8:00?AM?–?2:30?PM|Tuesday: 8:00?AM?–?2:30?PM|Wednesday: 8:00?AM?–?2:30?PM|Thursday: 8:00?AM?–?2:30?PM|Friday: 8:00?AM?–?2:30?PM|Saturday: 8:00?AM?–?5:00?PM|Sunday: 8:00?AM?–?5:00?PM,4.1,5041,tourist_attraction|point_of_interest|establishment,(0271) 495562,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
346,Watu Tumpang,-,"F6PJ+6C8, Sawah, Glagahagung, Kec. Purwoharjo, Kabupaten Banyuwangi, Jawa Timur 68483, Indonesia",-8.5144638,114.2310692,15,-,4.3,16,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
347,Ekowisata Nologaten,-,"69FX+XF6, Gg. Temulawak, RW.04, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.775091999999999,110.3986498,18,Monday: 9:00?AM?–?10:00?PM|Tuesday: 9:00?AM?–?10:00?PM|Wednesday: 9:00?AM?–?10:00?PM|Thursday: 9:00?AM?–?10:00?PM|Friday: 9:00?AM?–?10:00?PM|Saturday: 9:00?AM?–?10:00?PM|Sunday: 7:00?AM?–?10:00?PM,4.7,83,tourist_attraction|point_of_interest|establishment,0811-2640-967,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
348,Taman Blambangan,"Urban park offering a basketball court, walking paths & live shows & cultural events.","Jl. Diponegoro No.2, Kepatihan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68411, Indonesia",-8.2123176,114.3764785,15,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.5,10469,tourist_attraction|park|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
349,Air Terjun Kedung Cenggilik,-,"Q7M5+699, Banyucindih, Segobang, Kec. Licin, Kabupaten Banyuwangi, Jawa Timur 68454, Indonesia",-8.216965,114.2584861,15,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.3,3,tourist_attraction|point_of_interest|establishment,0822-4563-6727,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
350,Lapangan Eks Batalyon Cilacap,-,"72F6+8RW, Cilacap, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53211, Indonesia",-7.726646399999998,109.0120909,11,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.3,883,park|tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
351,Pantai mbutuh,-,"WF8H+9W8, Bendo, Krambil Sawit, Saptosari, Gunung Kidul Regency, Special Region of Yogyakarta, Indonesia",-8.084083099999997,110.4798348,20,-,5,2,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
352,Bendung Tegal,-,"Kebonagung, 3988+J9F, Imogiri, Kebon Agung, Imogiri, Jayan, Kb. Agung, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55782, Indonesia",-7.933426000000002,110.3659252,17,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.4,362,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
353,Masjid Jami Wonoyoso,-,"Jalan Kertijayan 2, Gang Beringin 1, Kedungwuni, Dusun I, Wonoyoso, Pekalongan, Kabupaten Pekalongan, Jawa Tengah 51171, Indonesia",-6.932353600000001,109.655833,14,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.7,279,mosque|tourist_attraction|place_of_worship|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
354,"?aiva Dharma "" Kimpoelan "" Temple "" Pustakala - ????????? """,-,"8C68+J4X, Lodadi, Umbulmartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia",-7.688378999999999,110.4153702,18,Monday: 7:00?AM?–?8:00?PM|Tuesday: 7:00?AM?–?8:00?PM|Wednesday: 7:00?AM?–?8:00?PM|Thursday: 7:00?AM?–?8:00?PM|Friday: 7:00?AM?–?8:00?PM|Saturday: 7:00?AM?–?8:00?PM|Sunday: 7:00?AM?–?8:00?PM,4.7,245,hindu_temple|tourist_attraction|place_of_worship|point_of_interest|establishment,(0274) 898444,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
355,Kalibendo Waterfall,-,"R7QC+PM6, Dusun Krajan, Kp. Anyar, Kec. Glagah, Kabupaten Banyuwangi, Jawa Timur 68432, Indonesia",-8.1607221,114.2716259,15,-,4.4,15,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
356,Kampung Kayangan,-,"Q7C5+WV, Srampon, Segobang, Licin, Banyuwangi Regency, East Java, Indonesia",-8.2276575,114.2596642,15,-,5,2,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
357,PEMANCINGAN LEMBAH MANAH,-,"7HJP+PPX, Jl. Pengkol, Bendogantungan, Sumberejo, Kec. Klaten Sel., Kabupaten Klaten, Jawa Tengah 57426, Indonesia",-7.718127199999999,110.5868661,33,-,5,3,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
358,LAMERIE Valley Nanggulan,-,"Pronosutan, Kembang, Kec. Nanggulan, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta, Indonesia",-7.7460838,110.2057692,19,-,4.7,3,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
359,Kaki Raung Water Fall,-,"R4FP+6F4, Bejong, Sumberarum, Kec. Songgon, Kabupaten Banyuwangi, Jawa Timur 68463, Indonesia",-8.1769806,114.1362159,15,-,4,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
360,Danau CAT RESCUE,-,"RPCG+MQ6, Jl. Puri Mansion Utara Blvd, RT.13/RW.2, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750, Indonesia",-6.1783268,106.7268853,10,-,5,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
361,Museum dan Tanah Liat,-,"JL. menayu, desa Jl. Kersan No.RT.05, Jeblog, Tirtonirmolo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184, Indonesia",-7.8200838,110.3394808,5,-,4.6,174,tourist_attraction|museum|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
362,Bukit Neglasari Nagrak,-,"Kp pasir bagade. Rt04/rw07, Nagrak, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16710, Indonesia",-6.619729,106.8494476,8,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,3.7,12,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
363,Kemiren Beach,-,"8335+53F, Jl. Lingkar Selatan, Kemiren, Tegalkamulyan, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah, Indonesia",-7.697064399999999,109.0576714,11,-,4.4,581,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
364,Bentara Budaya Yogyakarta (BBY),-,"Jl. Suroto No.2, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224, Indonesia",-7.7857242,110.3746954,16,Monday: 10:00?AM?–?9:00?PM|Tuesday: 10:00?AM?–?9:00?PM|Wednesday: 10:00?AM?–?9:00?PM|Thursday: 10:00?AM?–?9:00?PM|Friday: 10:00?AM?–?9:00?PM|Saturday: 10:00?AM?–?9:00?PM|Sunday: 10:00?AM?–?9:00?PM,4.6,984,tourist_attraction|point_of_interest|establishment,(0274) 560404,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
365,Bengkel Tamboer Motoer,-,"Jalan pindul-gading no 3, Karang Lor, Bejiharjo, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891, Indonesia",-7.9280744,110.6381514,20,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.4,22,tourist_attraction|point_of_interest|establishment,0838-4343-3888,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
366,Omah Salak,-,"Jalan Perum Gama Asri No.S-45, Kenteng, Wono Kerto, Kec. Turi, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55551, Indonesia",-7.644721799999999,110.3711143,18,Monday: 9:00?AM?–?4:00?PM|Tuesday: 9:00?AM?–?4:00?PM|Wednesday: 9:00?AM?–?4:00?PM|Thursday: 9:00?AM?–?4:00?PM|Friday: 1:00?–?4:00?PM|Saturday: 7:00?AM?–?4:00?PM|Sunday: 7:00?AM?–?4:00?PM,4.2,373,tourist_attraction|campground|park|lodging|restaurant|food|point_of_interest|establishment,0852-2841-7300,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
367,Reza mandiri trans surabaya,-,"Jl. Dukuh Kupang Tim. VI No.7, Pakis, Kec. Sawahan, Surabaya, Jawa Timur 60252, Indonesia",-7.282149,112.718857,2,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.5,4,tourist_attraction|point_of_interest|establishment,0819-1234-9164,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
368,Galaxy Waterpark,"Water park with slides, a swimming pool & a lazy river, plus a children's playground & a food court.","Jl. Wonosari No.6, Kalangan, Baturetno, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55196, Indonesia",-7.815963299999999,110.4136917,5,Monday: 9:00?AM?–?4:00?PM|Tuesday: 9:00?AM?–?4:00?PM|Wednesday: 9:00?AM?–?4:00?PM|Thursday: 9:00?AM?–?4:00?PM|Friday: Closed|Saturday: 9:00?AM?–?4:00?PM|Sunday: 9:00?AM?–?4:00?PM,4.4,3414,amusement_park|tourist_attraction|point_of_interest|establishment,0813-3638-0802,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
369,Wisata Mandala giri,-,"PMMQ+Q9H, Sukawera, Karanggondang, Karangkobar, Banjarnegara, Central Java, Indonesia",-7.265574699999999,109.6884944,28,Monday: 8:30?AM?–?5:00?AM|Tuesday: 8:30?AM?–?5:00?AM|Wednesday: 8:30?AM?–?5:00?AM|Thursday: 8:30?AM?–?5:00?AM|Friday: 8:30?AM?–?5:00?AM|Saturday: 8:30?AM?–?5:00?AM|Sunday: 8:30?AM?–?5:00?AM,5,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
370,Kampung Pintar Tembok Gede,-,"Jl. Tembok Gede Gg. III, Bubutan, Kec. Bubutan, Surabaya, Jawa Timur, Indonesia",-7.2549239,112.7299584,2,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,5,1,tourist_attraction|point_of_interest|establishment,0813-3086-8521,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
371,Pantai Karang Bandung,-,"62CW+W2Q, Pulau Nusa Kambangan, Tambakreja, Cilacap, Kabupaten Cilacap, Jawa Tengah 53263, Indonesia",-7.777654600000001,109.0451146,11,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.7,29,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
372,Kembang Arum Tourism Village,-,"Kembangarum 13, Donokerto, Turi, Wetan Kali, Donokerto, Kec. Turi, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55551, Indonesia",-7.656090199999999,110.3771816,18,Monday: 8:00?AM?–?4:00?PM|Tuesday: 8:00?AM?–?4:00?PM|Wednesday: 8:00?AM?–?4:00?PM|Thursday: 8:00?AM?–?4:00?PM|Friday: 8:00?AM?–?4:00?PM|Saturday: 8:00?AM?–?4:00?PM|Sunday: 8:00?AM?–?4:00?PM,4.5,965,tourist_attraction|point_of_interest|establishment,0822-2620-0090,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
373,Siung Beach,Scenic stretch of sandy beach featuring coral reefs & cliffs with a vast number of climbing routes.,"Jl. Pantai Siung, Duwet, Purwodadi, Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881, Indonesia",-8.1817865,110.6832504,20,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.6,2148,tourist_attraction|point_of_interest|establishment,0838-6770-0562,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
374,PENGKLIK TEMPURAN OPAK BULUS,-,"Canden, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55781, Indonesia",-7.921042099999999,110.3665596,17,-,5,4,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
375,Pemandian Tamansuruh.,-,"R76R+JW4, Jl. Perkebunan Kalibendo, Dusun Andong, Taman Suruh, Kec. Glagah, Kabupaten Banyuwangi, Jawa Timur 68432, Indonesia",-8.188493199999998,114.2923392,15,Monday: 7:00?AM?–?4:00?PM|Tuesday: 7:00?AM?–?4:00?PM|Wednesday: 7:00?AM?–?4:00?PM|Thursday: 7:00?AM?–?4:00?PM|Friday: Closed|Saturday: 7:00?AM?–?4:00?PM|Sunday: 7:00?AM?–?4:30?PM,4.3,1317,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
376,Botans Tubing Adventure,-,"HJM9+F5R, Kaliurang, Winong, Kec. Bawang, Kab. Banjarnegara, Jawa Tengah 53471, Indonesia",-7.4162511,109.6178997,28,-,5,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
377,???????? alkid,-,"59Q7+263, Jl. Alun Alun Kidul, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133, Indonesia",-7.812481799999999,110.3630355,5,-,4.8,13,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
378,toek gempol,-,"89HV+542, Sembung, Purwobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582, Indonesia",-7.6721146,110.3927802,18,Monday: 8:00?AM?–?5:00?AM|Tuesday: 8:00?AM?–?5:00?AM|Wednesday: 8:00?AM?–?5:00?AM|Thursday: 8:00?AM?–?5:00?AM|Friday: 8:00?AM?–?5:00?AM|Saturday: 8:00?AM?–?5:00?AM|Sunday: 8:00?AM?–?5:00?AM,5,1,tourist_attraction|point_of_interest|establishment,0877-8626-4323,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
379,Badug Pancur ????????????,-,"89FC+FW, Purworejo, Kalipait, Kec. Tegaldlimo, Kabupaten Banyuwangi, Jawa Timur, Indonesia",-8.6763022,114.3723291,15,Monday: 8:00?AM?–?5:00?PM|Tuesday: 8:00?AM?–?5:00?PM|Wednesday: 8:00?AM?–?5:00?PM|Thursday: 8:00?AM?–?5:00?PM|Friday: 8:00?AM?–?5:00?PM|Saturday: 8:00?AM?–?5:00?PM|Sunday: 8:00?AM?–?5:00?PM,5,6,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
380,TNF.Indonesia,-,"QWH2+C6F, Gg. Langgar II, RT.11/RW.5, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470, Indonesia",-6.2214299,106.9005604,1,-,5,3,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
381,Perliman Jajag,-,"Jl. Juanda No.113, Dusun Petahunan, Jajag, Kec. Gambiran, Kabupaten Banyuwangi, Jawa Timur 68486, Indonesia",-8.4449568,114.1828132,15,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.8,4,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
382,Air Terjun Antogan,-,"Dusun Krajan, Bunder, Kec. Kabat, Kabupaten Banyuwangi, Jawa Timur 68461, Indonesia",-8.287063,114.2736271,15,Monday: 9:00?AM?–?5:00?PM|Tuesday: 9:00?AM?–?5:00?PM|Wednesday: 9:00?AM?–?5:00?PM|Thursday: 9:00?AM?–?5:00?PM|Friday: 9:00?AM?–?5:00?PM|Saturday: 9:00?AM?–?5:00?PM|Sunday: 9:00?AM?–?5:00?PM,3.6,217,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
383,Joglo Omah Wayang,-,"Jl.Butuh Dukuh Butuh Rt 22 Rw 11 kodepos 57473, Dusun III, Sidowarno, Kec. Wonosari, Kabupaten Klaten, Jawa Tengah 57473, Indonesia",-7.6447845,110.7959383,7,-,4.8,12,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
384,PJL Geser,-,"6968+4CQ, Sosromenduran, Gedong Tengen, Yogyakarta City, Special Region of Yogyakarta 55271, Indonesia",-7.789654999999999,110.3661098,5,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.6,512,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
385,Air Terjun Kedung Silowo,-,"Unnamed Road, Q7F7+4H4, Dusun Ledok, Jelun, Kec. Licin, Kabupaten Banyuwangi, Jawa Timur 68454, Indonesia",-8.227235099999998,114.2639531,15,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.3,4,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
386,Setia Abadi Tour & Travel,-,"Jl. Simo Sidomulyo IV No.9A, Petemon, Kec. Sawahan, Surabaya, Jawa Timur 60252, Indonesia",-7.257344999999998,112.7157418,2,Monday: 6:00?AM?–?11:30?PM|Tuesday: 6:00?AM?–?11:30?PM|Wednesday: 6:00?AM?–?11:30?PM|Thursday: 6:00?AM?–?11:30?PM|Friday: 6:00?AM?–?11:30?PM|Saturday: 6:00?AM?–?11:30?PM|Sunday: 6:00?AM?–?11:30?PM,5,3,tourist_attraction|local_government_office|travel_agency|point_of_interest|establishment,0851-0471-1117,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
387,Mangrove Bedul Ecotourism,"Nature preserve featuring a beach, a mangrove forest, migratory birds & boat tours.","Dusun Bloksolo, RT. 1, RW. 2, Desa Sumberasri, Kecamatan Purwoharjo, Gebang Kandel, Sumberasri, Kec. Purwoharjo, Kabupaten Banyuwangi, Jawa Timur 68483, Indonesia",-8.591058099999998,114.26478,15,Monday: 8:00?AM?–?4:00?PM|Tuesday: 8:00?AM?–?4:00?PM|Wednesday: 8:00?AM?–?4:00?PM|Thursday: 8:00?AM?–?4:00?PM|Friday: 8:00?AM?–?4:00?PM|Saturday: 8:00?AM?–?4:00?PM|Sunday: 8:00?AM?–?4:00?PM,4.3,121,tourist_attraction|park|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
388,JPL 195,-,"7649+V74, Jl. Ikan Kerapu, Mangunharjo, Kec. Mayangan, Kota Probolinggo, Jawa Timur 67217, Indonesia",-7.742850400000002,113.2181876,12,-,5,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
389,Samarehu Beach,-,"Holtekamp Nafri Jayapura, Jl. R, RT.8/RW.4, Kb. Baru, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830, Indonesia",-6.232429199999999,106.8611851,9,-,5,1,tourist_attraction|point_of_interest|establishment,0813-4400-2241,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
390,Fauzi Tour Travel,-,"Dsn Kedungrejo RT/RW 001/005 Ds Sambimulyo, Gn. Sari, Sambirejo, Kec. Bangorejo, Kabupaten Banyuwangi, Jawa Timur 68487, Indonesia",-8.5159725,114.1789781,15,Monday: 8:00?AM?–?9:00?PM|Tuesday: 8:00?AM?–?9:30?PM|Wednesday: 8:00?AM?–?9:30?PM|Thursday: 8:00?AM?–?9:30?PM|Friday: 8:30?AM?–?9:30?PM|Saturday: Closed|Sunday: Closed,4.6,33,car_rental|tourist_attraction|travel_agency|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
391,Pantai Ujung Tanggul,-,"72MJ+9F3, Jl. Tlk. Penyu, Tegalkamulyan, Kabupaten Cilacap, Jawa Tengah, Indonesia",-7.716604899999998,109.0311661,11,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.5,6,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
392,Punthuk Negoro,-,"Unnamed Road, Kembang, Madurejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572, Indonesia",-7.7978925,110.4692573,5,Monday: 7:00?AM?–?5:00?PM|Tuesday: 7:00?AM?–?5:00?PM|Wednesday: 7:00?AM?–?5:00?PM|Thursday: 7:00?AM?–?5:00?PM|Friday: 7:00?AM?–?5:00?PM|Saturday: Open 24 hours|Sunday: 6:00?AM?–?5:00?PM,5,3,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
393,Sekretariat Desa Wisata Suryatman Danurejan Yogyakarta,-,"6939+HFW, Jl. Jomblangan, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213, Indonesia",-7.7961291,110.3686929,16,Monday: 8:30?AM?–?5:00?PM|Tuesday: 8:30?AM?–?5:00?PM|Wednesday: 8:30?AM?–?5:00?PM|Thursday: 8:30?AM?–?5:00?PM|Friday: 8:30?AM?–?5:00?PM|Saturday: 8:30?AM?–?5:00?PM|Sunday: 8:30?AM?–?5:00?PM,5,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
394,Sibak Kampoeng Koeliner,-,"72J2+RRG, Ngupasan, Pangenjurutengah, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54114, Indonesia",-7.717926899999998,110.0020859,31,"Monday: 12:00?AM?–?12:00?PM, 5:00?PM?–?12:00?AM|Tuesday: 12:00?AM?–?12:00?PM, 5:00?PM?–?12:00?AM|Wednesday: 12:00?AM?–?12:00?PM, 5:00?PM?–?12:00?AM|Thursday: 12:00?AM?–?12:00?PM, 5:00?PM?–?12:00?AM|Friday: 12:00?AM?–?12:00?PM, 5:00?PM?–?12:00?AM|Saturday: 12:00?AM?–?12:00?PM, 5:00?PM?–?12:00?AM|Sunday: 12:00?AM?–?12:00?PM, 5:00?PM?–?12:00?AM",4.6,8,tourist_attraction|point_of_interest|establishment,0822-2599-5881,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
395,Corah Raden Taufik,-,"R7XR+5JV, Dusun Bangunrejo, Bulusari, Kec. Kalipuro, Kabupaten Banyuwangi, Jawa Timur 68455, Indonesia",-8.152010099999998,114.2915403,15,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Closed|Saturday: Open 24 hours|Sunday: Open 24 hours,5,3,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
